social_sustainability,economic_sustainability,overall_sustainability,final_farmers_pct,mean_displacement_rate,land_appreciation_pct,final_gini,production_retention_pct,mean_volatility,regime,protection_index,regime_abm1,policy_scenario,replication
82.84103928409931,82.60122124837585,67.72113026623758,80.0,0.8916666666666666,667.3598549658037,0.3445730357950345,77.90728320298356,0.028084601640878885,moderate,0.8700000000000001,MODERATE,maximum_protection,8
82.89129596753705,82.41984726858094,67.65557161805899,80.0,0.8833333333333334,659.884986419429,0.3421852016231477,77.44709892138061,0.027949614998565474,moderate,0.8700000000000001,MODERATE,maximum_protection,9
82.68975980323802,85.34011010202056,69.01493495262929,82.0,0.7916666666666665,633.0213680625669,0.4036370098380986,82.72225539214756,0.027439602741924005,moderate,0.8700000000000001,MODERATE,maximum_protection,10
82.01147986939277,85.58739046782435,68.79943516860857,80.0,0.8583333333333334,647.7748143883985,0.3865510065303617,85.35425974965403,0.027715671601863893,moderate,0.8700000000000001,MODERATE,maximum_protection,11
83.1990991402802,85.12553326874712,69.16231620451366,80.0,0.8666666666666666,708.9973712998436,0.3270450429859899,84.25444447047224,0.028812225972089003,moderate,0.8700000000000001,MODERATE,maximum_protection,12
82.72678859671133,85.67308208860379,69.19993534265757,80.0,0.9333333333333335,632.0651634283391,0.3496605701644333,85.55445848446507,0.027435065259112212,moderate,0.8700000000000001,MODERATE,maximum_protection,13
82.66109797701631,85.17455394407718,68.91782596054674,80.0,0.7749999999999999,683.6704184718031,0.35532010114918466,84.3546248648867,0.02836480009387612,moderate,0.8700000000000001,MODERATE,maximum_protection,14
82.47384222720495,83.27867976036445,67.87626099378471,80.0,0.9249999999999999,635.219883691933,0.36243288863975187,79.57065834625492,0.02747917890687639,moderate,0.8700000000000001,MODERATE,maximum_protection,15
82.37734948076734,83.74733514421219,68.06234231248976,80.0,0.9333333333333335,657.4651399782064,0.3671325259616329,80.76320636595054,0.027897370108402167,moderate,0.8700000000000001,MODERATE,maximum_protection,16
83.15088357259212,83.83971071632072,68.49529714445643,80.0,0.6833333333333332,638.6634005173031,0.332205821370394,80.97740939871395,0.027562652158242818,moderate,0.8700000000000001,MODERATE,maximum_protection,17
